"strain","class","total_inhibition"
"1080","Alphaproteobacteria",8
"1101","Alphaproteobacteria",8
"1208","Actinobacteria",8
"1234","Alphaproteobacteria",8
"1334","Actinobacteria",8
"1338","Chitinophagia",8
"428","Betaproteobacteria",8
"459","Alphaproteobacteria",8
"997","Gammaproteobacteria",8
"1847","Gammaproteobacteria",7
"978","Actinobacteria",7
"1350","Actinobacteria",6
"1533","Gammaproteobacteria",4
"3044","Gammaproteobacteria",4
"2751","Bacilli",3
"1114","Actinobacteria",0
"1362","Gammaproteobacteria",0
"1475","Betaproteobacteria",0
"1692","Alphaproteobacteria",0
"1703","Alphaproteobacteria",0
"1725","Alphaproteobacteria",0
"1790","Alphaproteobacteria",0
"2998","Alphaproteobacteria",0
"2998","Bacilli",0
"638","Actinobacteria",0
